asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion
Re: Cita con el dentista,Dra. ¿Confirma la cita para mañana a las 3pm?,ham,paciente@outlook.com,False,False,False,False,SPAM
Tu pedido ha sido enviado,Su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro],ham,envios@tiendaonline.com,1,1,1,1,Spam
¡Oferta Flash! ¡Descuento del 70%,¡Solo por hoy! ¡70% de descuento en todos nuestros productos. Compre ahora: [enlace sospechoso],spam,ofertasflash@descuentos.net,True,True,True,False,Spam
"Re: Informe del proyecto,""Estimado jefe, adjunto el informe del proyecto. Saludos."",ham,empleado@empresa.com,False,False,False,False,Ham",,,,1,1,1,1,HAM
¡Gana un iPhone!,Ha ganado un iPhone! Reclame su premio aquí: [enlace sospechoso],spam,concursos@iphonegratis.com,True,False,True,True,HAM
"Re: Reunion del equipo,""Estimados, confirmo la reunion para mañana a las 11 am."",ham,gerente@gmail.com,False,False,False,False,Ham",,,,1,1,1,1,
¡Oferta Exclusiva: Viajes a Europa!,¡Viajes a Europa con descuentos increíbles! Reserve ahora: [enlace sospechoso],spam,viajes@europa.com,True,False,True,False,Spam
"Re: Problemas con la impresora,""Estimado departamento de IT, la impresora sigue sin funcionar."",ham,empleado@empresa.com,False,False,False,False,Ham",,,,,,,,HAM
Confirmación de tu compra,Gracias por su compra. Puede ver los detalles aquí: [enlace seguro],ham,compras@tiendaonline.com,True,False,False,False,Spam
¡PRESTAMO RAPIDO Y FACIL!,¡Obtenga un préstamo rápido y fácil! Solicite ahora: [enlace sospechoso],spam,prestamos@creditorapido.com,True,True,True,True,Spam
"Re: Presentación del proyecto,""Estimado equipo, adjunto la presentación del proyecto."",ham,jefe@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Gana un auto!,Felicidades! Ha ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premios@autosgratis.com,True,False,True,True,Spam
"Re: Reserva de hotel,""Hola, ¿podría confirmar la reserva del hotel para el próximo fin de semana?"",ham,cliente@gmail.com,False,False,False,False,Ham",,,,,,,,
"Tu contraseña ha sido restablecida,""Su contraseña ha sido restablecida. Si no fue usted, contacte con nosotros: [enlace seguro]"",ham,seguridad@gmail.com,True,False,False,False,Ham",,,,,,,,HAM
Aumente sus ventas,Aumente sus ventas con nuestra nueva herramienta. Más información: [enlace sospechoso],spam,ventas@aumentesusventas.net,True,False,False,False,Spam
"Re: Cita médica,""Doctor, ¿podría confirmar la cita para el lunes a las 2 PM?"",ham,paciente@yahoo.com,False,False,False,False,Ham",,,,1,1,1,1,
¡Oferta irresistible!#¡50% de descuento!,¡No te pierdas esta oferta# ¡50% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@descuentos.net,True,True,True,False,Spam
"Re: Informe semanal,""Estimado jefe, adjunto el informe semanal."",ham,empleado@outlook.com,False,False,False,False,Ham",,,,1,1,1,1,
"¡Gane un viaje a Europa!,""Felicidades, ha ganado un viaje a Europa. Reclame su premio aquí: [enlace sospechoso]"",spam,concursos@viajesgratis.com,True,False,True,True,Spam",,,,,,,,
"R#: Reunión de equipo,""Estimados, recuerden la reunión de mañana a las 9 AM."",ham,gerente@yahoo.com,False,False,False,False,Ham",No#e,,,,,,,
¡Oferta Flash! ¡75% de descuento!,¡Solo por hoy! ¡75% de descuento en todos nuestros productos. Compre ahora: [enlace sospechoso],spam,ofertasflash@descuentos.net,True,True,True,False,Spam
"Re: Proyecto Alfa,""Estimado equipo, actualizacion sobre el proyecto Alfa."",ham,jefe@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,True,True,True,True,Spam
"Re: Cita con el médico,""Doctor, ¿podría confirmar la cita para el martes a las 10 AM?"",ham,paciente@gmail.com,False,False,False,False,Ham",,,,,,,,
¡Oferta Increíble: ¡Gana un auto!,¡Felicidades! Ha ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,True,True,True,True,Spam
"Re: Reunión de proyecto,""Estimados, les recuerdo la reunión de proyecto para mañana a las 2 PM."",ham,gerente@outlook.com,False,False,False,False,Ham",,,,1,1,1,1,HAM
¡Oferta Limitada! ¡60% de descuento!,¡No te pierdas esta increíble oferta! ¡60% de descuento en todos nuestros productos. Compra ahora: [enlace sospechoso],spam,ofertas@megapromociones.net,True,True,True,False,Spam
"Re: Problemas técnicos,""Estimado soporte técnico, estoy teniendo problemas con el sistema."",ham,usuario@gmail.com,False,False,False,False,Ham",,,,1,1,1,1,
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,True,True,True,True,Spam
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,,,,,
"Actualiza tu contraseña ahora,""Estimado usuario, por favor actualice su contraseña para mayor seguridad. Haga clic aquí: [enlace sospechoso]"",spam,seguridad@actualizatucuenta.net,True,False,False,True,Spam",,,,,,,,
Tu cuenta ha sido bloqueada,Su cuenta ha sido bloqueada debido a actividad sospechosa. Ingrese sus datos para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,True,False,False,True,Spam
"Nueva promoción en nuestra tienda online,""Aprovecha nuestras increíbles ofertas en productos electrónicos, ¡solo por tiempo limitado!"",ham,marketing@tiendavirtual.com,False,False,False,False,Spam",,,,,,,,
"Re: Cita médica,""Estimado paciente, le recordamos su cita médica del día 15 de octubre a las 10:00 am."",ham,citas@hospital.com,False,False,False,False,Spam",,,,,,,,HAM
"¡Oferta Exclusiva! ¡No te lo pierdas!,""Aprovecha nuestra increíble oferta, ¡solo por tiempo limitado! [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,True,True,False,Spam",,,,,,,,
Problemas con tu cuenta bancaria,Hemos detectado actividad inusual en su cuenta bancaria. Ingrese sus datos para verificar su identidad: [enlace sospechoso],spam,seguridad@banconacional.net,True,False,False,True,Spam
Confirma tu compra,Gracias por su compra. Puede revisar su pedido aquí: [enlace seguro],ham,compras@tiendaonline.com,True,False,False,False,Spam
GANE UN AUTO NUEVO,Usted ha ganado un auto nuevo. Visite nuestra web para reclamarlo: [enlace sospechoso],spam,concursos@ganeauto.com,True,True,True,True,Spam
"Re: Tu solicitud ha sido aprobada,""Estimado cliente, su solicitud ha sido aprobada. Puede consultar más información aquí: [enlace seguro]"",ham,solicitudes@empresa.com,True,False,False,False,Spam",,,,,,,,
Actualiza tus datos,Por favor actualice sus datos personales para poder seguir usando nuestros servicios. [enlace sospechoso],spam,soporte@actualizatusdatos.net,True,False,False,True,Spam
"Problemas con tu cuenta,""Hemos detectado un problema con su cuenta. Por favor, actualice sus datos: [enlace sospechoso]"",spam,soporte@cuentaproblematica.com,True,False,False,True,Spam",,,,,,,,
"Tu pedido está listo para ser recogido,""Estimado cliente, su pedido está listo para ser recogido en nuestra tienda."",ham,pedidos@misupermercado.com,False,False,False,False,Spam",,,,,,,,
Oferta limitada: ¡50% de descuento!,Aprovecha nuestra oferta limitada de 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,ofertas@descuentosincreibles.net,True,False,True,False,Spam
"Re: Cambio de horario,""Estimado empleado, se informa cambio de horario a partir de la próxima semana."",ham,rrhh@empresa.com,False,False,False,False,Spam",,,,,,,,
¡Gane un viaje a las Bahamas!,¡Felicidades! Ha ganado un viaje a las Bahamas. Reclame su premio aquí: [enlace sospechoso],spam,concursos@viajesgratis.com,True,True,True,True,HAM
"Re: Tu factura está lista,""Estimado cliente, su factura está lista para ser descargada: [enlace seguro]"",ham,facturas@empresa.com,True,False,False,False,Spam",,,,,,,,
Atención: ¡Su cuenta ha sido comprometida!,Hemos detectado actividad sospechosa en su cuenta. Ingrese sus datos para asegurarla: [enlace sospechoso],spam,seguridad@bancounido.com,True,False,True,True,Spam
"Recuerda tu cita,""Hola, este es un recordatorio para tu cita del martes a las 3pm."",ham,recordatorios@clinicadental.com,False,False,False,False,Ham",,,,,,,,
¡Gran Rebaja!,Aprovecha nuestra gran rebaja en todos nuestros productos. [enlace sospechoso],spam,rebajas@superrebajas.net,True,True,True,False,Spam
"Re: Confirmación de reserva,""Estimado cliente, su reserva ha sido confirmada. Puede ver los detalles aquí: [enlace seguro]"",ham,reservas@hotel.com,True,False,False,False,Spam",,,,,,,,
¡Gana un iPhone gratis!,Participa en nuestro concurso y gana un iPhone gratis. [enlace sospechoso],spam,concursos@iphonegratis.com,True,True,True,True,Spam
"Re: Actualización de software,""Estimado usuario, hay una nueva actualización de software disponible para su dispositivo."",ham,soporte@software.com,False,False,False,False,Ham",,,,,,,,
Tu premio te espera,¡Felicidades! Ha ganado un premio. Reclámelo ahora: [enlace sospechoso],spam,premios@ganapremios.net,True,True,True,True,Spam
"Re: Tu paquete ha llegado,""Estimado cliente, su paquete ha llegado a la oficina de correos."",ham,envios@correos.com,False,False,False,False,Ham",,,,,,,,
¡Oferta Flash!,Oferta flash por tiempo limitado. ¡No te lo pierdas! [enlace sospechoso],spam,ofertasflash@ofertasrapidas.com,1,1,1,1,Spam
"Re: Tu cuenta ha sido creada,""Estimado usuario, su cuenta ha sido creada correctamente. Puede acceder aquí: [enlace seguro]"",ham,soporte@plataforma.com,True,False,False,False,Spam",,,,1,1,1,1,
¡Gane un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,1,1,1,1,Spam
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,,,,,
"Actualiza tu contraseña ahora,""Estimado usuario, por favor actualice su contraseña para mayor seguridad. Haga clic aquí: [enlace sospechoso]"",spam,seguridad@actualizatucuenta.net,True,False,False,True,Spam",,,,,,,,
Tu cuenta ha sido#bloqueada,Su cuenta ha sido bl#queada debido a actividad sospechosa. Ingrese sus datos para desbloquearla: [enlace sospechoso],spam,seguridad@bancofalso.com,True,False,False,True,Spam
"Nueva promoción en nuestra tienda online,""Aprovecha nuestras increíbles ofertas en productos electrónicos, ¡solo por tiempo limitado!"",ham,marketing@tiendavirtual.com,False,False,False,False,Spam",,,,1,1,1,1,
"Re: Cita médica,""Estimado paciente, le recordamos su cita médica del día 15 de octubre a las 10:00 am."",ham,citas@hospital.com,False,False,False,False,Spam",,,,,,,,
"¡Oferta Exclusiva! ¡No te lo pierdas!,""Aprovecha nuestra increíble oferta, ¡solo por tiempo limitado! [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,True,True,False,Spam",,,,1,1,1,1,
Problemas con tu cuenta bancaria,Hemos detectado actividad inusual en su cuenta bancaria. Ingrese sus datos para verificar su identidad: [enlace sospechoso],spam,seguridad@banconacional.net,True,False,False,True,Spam
Confirma tu compra,Gracias por su compra. Puede revisar su pedido aquí: [enlace seguro],ham,compras@tiendaonline.com,True,False,False,False,Spam
GANE UN AUTO#NUEVO,Usted ha ganado un auto nue#o. Visite nuestra web para reclamarlo: [enlace sospechoso],spam,concursos@ganeauto.com,True,True,True,True,Spam
"Re: Tu solicitud ha sido aprobada,""Estimado cliente, su solicitud ha sido aprobada. Puede consultar más información aquí: [enlace seguro]"",ham,solicitudes@empresa.com,True,False,False,False,Spam",,,,,,,,
Actualiza tus datos,Por favor actualice sus datos personales para poder seguir usando nuestros servicios. [enlace sospechoso],spam,soporte@actualizatusdatos.net,True,False,False,True,Spam
"Problemas con tu cuenta,""Hemos detectado un problema con su cuenta. Por favor, actualice sus datos: [enlace sospechoso]"",spam,soporte@cuentaproblematica.com,True,False,False,True,Spam",,,,,,,,
"Tu pedido está listo para ser recogido,""Estimado cliente, su pedido está listo para ser recogido en nuestra tienda."",ham,pedidos@misupermercado.com,False,False,False,False,Spam",,,,,,,,
Oferta limitada: ¡50% de descuento!,Aprovecha nuestra oferta limitada de 50% de descuento en todos nuestros productos. [enlace sospechoso],spam,ofertas@descuentosincreibles.net,True,False,True,False,Spam
"Re: Cambio de horario,""Estimado empleado, se informa cambio de horario a partir de la próxima semana."",ham,rrhh@empresa.com,False,False,False,False,Spam",,,,,,,,
¡Gane un viaje a las Bahamas!,¡Felicidades! Ha ganado un viaje a las Bahamas. Reclame su premio aquí: [enlace sospechoso],spam,concursos@viajesgratis.com,True,True,True,True,Spam
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,1,1,1,1,Spam
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,1,1,1,1,
"Actualiza tu contraseña,""Estimado usuario, por favor actualiza tu contraseña para mantener tu cuenta segura. [enlace seguro]"",ham,seguridad@gmail.com,True,False,False,True,Spam",,,,,,,,
"Re: Tu cuenta ha sido comprometida,""Hemos detectado actividad sospechosa en tu cuenta. Por favor, verifica tu información aquí: [enlace sospechoso]"",spam,seguridadfalsa@gmail.com,True,False,False,True,Spam",,,,,,,,
Oferta Exclusiva: ¡Viajes Gratis!,¡Viajes gratis a cualquier parte del mundo! Solo por tiempo limitado. [enlace sospechoso],spam,viajesgratis@ofertas.net,True,True,True,False,Spam
"Su suscripción a Netflix ha caducado,""Estimado cliente, su suscripción a Netflix ha caducado. Renueve su suscripción aquí: [enlace segu#o]"",ham,netflix@netflix.com,True,False,False,False,Spam",No#e,,,,,,,
"¡Gana un auto nuevo!,""Felicidades, has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso]"",spam,ganatuauto@correo.com,True,True,True,True,Spam",,,,,,,,
"Actualización de seguridad,""Estimado usuario, hemos mejorado nuestra seguridad. Lea más aquí: [enlace seguro]"",ham,seguridad@yahoo.com,True,False,False#False,Spam",Non#,,,,,,,
Re: ¡Oferta irresistible!,¡Oferta irresistible! Productos a mitad de precio. [enlace sospechoso],spam,ofertasirresistibles@promociones.net,True,True,True,False,Spam
Tu paquete ha llegado,Su paquete ha llegado a la oficina de correos. Recójalo dentro de 48 horas.,ham,envios@correo.com,1,1,1,1,Spam
Re: ¡Gana un millón de dólares!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasespeciales@ofertas.net,True,True,True,True,Spam
"Re: Tu pedido está listo para ser enviado,""Estimado cliente, su pedido está listo para ser enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,,,,,
¡Atención! Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Ingresa aquí para desbloquearla: [enlace sospechoso],spam,seguridad@bloqueo.com,True,False,True,True,Spam
Re: ¡Oferta Increíble! ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,ofertasincreibles@ganamillon.com,True,True,True,True,Spam
Re: ¡Viajes Gratis!,¡Viajes gratis a cualquier parte del mundo! Solo por tiempo limitado. [enlace sospechoso],spam,viajesgratis@ofertas.net,True,True,True,False,Spam
"Re: ¡Gana un auto nuevo!,""Felicidades, has ganado un auto nuevo. Reclame su premio aquí: [enlace sospechoso]"",spam,ganatuauto@correo.com,True,True,True,True,Spam",,,,,,,,
Re: Tu paquete ha llegado,Su paquete ha llegado a la oficina de correos. Recójalo dentro de 48 horas.,ham,envios@correo.com,False,False,False,False,Spam
Re: ¡Oferta irresistible!,¡Oferta irresistible! Productos a mitad de precio. [enlace sospechoso],spam,ofertasirresistibles@promociones.net,True,True,True,False,Spam
"Tu compra ha sido confirmada,""Estimado cliente, su compra ha sido confirmada. Puede ver los detalles aquí: [enlace seguro]"",ham,compras@micompañia.com,True,False,False,False,Spam",,,,,,,,
Re: ¡Atención! Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Ingresa aquí para desbloquearla: [enlace sospechoso],spam,seguridad@bloqueo.com,True,False,True,True,Spam
"Re: Su suscripción a Netflix ha caducado,""Estimado cliente, su suscripción a Netflix ha caducado. Renueve su suscripción aquí: [enlace seguro]"",ham,netflix@netflix.com,True,False,False,False,Spam",,,,,,,,
"Re: Actualiza tu contraseña,""Estimado usuario, por favor actualiza tu contraseña para mantener tu cuenta segura. [enlace seguro]"",ham,seguridad@gmail.com,True,False,False,True,Spam",,,,,,,,
"Re: Actualización de seguridad,""Estimado usuario, hemos mejorado nuestra seguridad. Lea más aquí: [enlace seguro]"",ham,seguridad@yahoo.com,True,False,False,False,Spam",,,,,,,,HAM
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,,,,,
"Re: Tu cuenta ha sido comprometida,""Hemos detectado actividad sospechosa en tu cuenta. Por favor, verifica tu información aquí: [enlace sospechoso]"",spam,seguridadfalsa@gmail.com,True,False,False,True,Spam",,,,,,,,
